mag,da,alpha,a,R,N0,axf,xc,yc,alphab,sar,lead,flux,fluxp,fluxn,fint,lat,AR,spt,day
0.0,0.06236391673760392,-0.22531645824739036,6.537552329548412,16.68820315675347,0.10897303224810354,7.688288485852406e+21,47.20807891828196,36.37652104584493,-23.806270628440764,10.220097648892542,1,1.3641177513787458e+21,1.2835961746915008e+21,1.4446393280659907e+21,0.16163563835997816,6,10132,1,1.0
1.0,0.08688732911262503,-0.20445113409320864,6.548038182991019,16.68820315675347,0.10897303224810354,7.688288485852406e+21,47.13339460495843,36.2532648767357,-26.198798479352625,10.562184636861458,1,1.598909885437738e+21,1.5531860791795602e+21,1.6446336916959157e+21,0.1894563865557765,6,10132,1,1.0
2.0,0.11203439028895011,-0.12542132234046058,6.283701407065845,16.68820315675347,0.10897303224810354,7.688288485852406e+21,46.938464730940616,35.975563127848524,-19.731521313206553,11.810767685695303,1,1.815303289990707e+21,1.892964200525215e+21,1.737642379456199e+21,0.21509705140780722,6,10132,1,1.0
3.0,0.1289912892277007,-0.048786715857522124,6.213069958508842,16.68820315675347,0.10897303224810354,7.688288485852406e+21,46.862498425442126,35.73058238187851,-13.836382128548475,12.635797881468363,1,2.0536473034881607e+21,2.1721906440787222e+21,1.9351039628975994e+21,0.24333866525089531,6,10132,1,1.0
4.0,0.1409066957571167,0.028719863776828267,6.0875421125451155,16.68820315675347,0.10897303224810354,7.688288485852406e+21,46.75195975107407,35.5776662059746,-8.55140702306223,13.822433235711319,1,2.1781938875257803e+21,2.39099589388861e+21,1.9653918811629504e+21,0.2580963110597914,6,10132,1,1.0
5.0,0.1647832228272745,0.08455095686824514,6.311443142145956,16.68820315675347,0.10897303224810354,7.688288485852406e+21,46.02862086201134,35.37799331754388,-3.521468578931081,15.706289576611894,1,2.2952264911830542e+21,2.511894798094507e+21,2.0785581842716012e+21,0.27196361802940916,6,10132,1,1.0
6.0,0.17884562138049995,0.12935276273819585,6.299192141722003,16.68820315675347,0.10897303224810354,7.688288485852406e+21,46.110053722511154,35.55035837366537,-0.1942991983545666,16.82727401357989,1,2.4075131625444103e+21,2.638252020658308e+21,2.176774304430513e+21,0.28526857486797075,6,10132,1,1.0
7.0,0.1930748392577399,0.1513087635313151,6.262891981916613,16.68820315675347,0.10897303224810354,7.688288485852406e+21,46.181608437863055,35.99046700446911,0.7044659167140306,17.346822876033038,1,2.610571628306926e+21,2.8616960313378147e+21,2.359447225276037e+21,0.30932916986041076,6,10132,1,1.0
8.0,0.21244240219995014,0.1678804655085991,6.264706628952338,16.68820315675347,0.10897303224810354,7.688288485852406e+21,45.95237996246,36.214294342992005,1.471643850772143,18.076935069351382,1,2.7960975668891956e+21,3.042636277120437e+21,2.549558856657954e+21,0.3313123186646617,6,10132,1,1.0
9.0,0.23430402605444817,0.1803106506451433,6.277342831419638,16.68820315675347,0.10897303224810354,7.688288485852406e+21,45.52201672959167,36.4163424492138,2.466994707890521,17.8551501890876,1,3.111847073174248e+21,3.408561280453538e+21,2.815132865894958e+21,0.3687257845906412,6,10132,1,1.0
10.0,0.25848975632047033,0.19433618540371933,6.333958857465447,16.68820315675347,0.10897303224810354,7.688288485852406e+21,45.34476288788516,36.71049770791456,3.971766444041982,18.21429160464402,1,3.388796195692878e+21,3.7071564881762866e+21,3.070435903209469e+21,0.4015417553279838,6,10132,1,1.0
11.0,0.2691290762834094,0.20112999356294797,6.301497525916936,16.68820315675347,0.10897303224810354,7.688288485852406e+21,45.50443851878381,36.57739843929668,5.946522653713153,18.38472760807248,1,3.57156854681098e+21,3.9051061459043945e+21,3.2380309477175654e+21,0.42319862887696386,6,10132,1,1.0
12.0,0.28458571444420094,0.20589312091166484,6.289032222850567,16.68820315675347,0.10897303224810354,7.688288485852406e+21,45.25102650798704,36.44047600046817,6.674638022733553,18.44606592624245,1,3.9310623371888626e+21,4.248299420304048e+21,3.613825254073677e+21,0.46579539754700505,6,10132,1,1.0
13.0,0.2973797330130746,0.2159667123306668,6.2491439428367395,16.68820315675347,0.10897303224810354,7.688288485852406e+21,45.03298260271915,36.60899557478749,7.418651633382216,18.316019121281478,1,4.2985963027662126e+21,4.683373875186432e+21,3.9138187303459933e+21,0.5093448543919332,6,10132,1,1.0
14.0,0.3107073458197784,0.23995509477227903,6.20720345324005,16.68820315675347,0.10897303224810354,7.688288485852406e+21,44.99370098733873,36.880680833867146,9.146158671971975,18.592008430182144,1,4.6246539199876547e+21,5.017611983446983e+21,4.2316958565283267e+21,0.5479797384028287,6,10132,1,2.0
15.0,0.3209330683836172,0.2601489142492785,6.159279386156527,16.68820315675347,0.10897303224810354,7.688288485852406e+21,45.01797628552453,37.232594185282906,10.49516636586864,18.845795074037312,1,4.925413471021348e+21,5.336879882950136e+21,4.51394705909256e+21,0.5836170299599956,6,10132,1,2.0
16.0,0.3282712668474227,0.2870157960048106,6.121356044585141,16.68820315675347,0.10897303224810354,7.688288485852406e+21,44.84268990762973,37.44370020886568,11.440394281482732,19.053743484637472,1,5.089941433448069e+21,5.483366528671217e+21,4.6965163382249216e+21,0.6031121081583629,6,10132,1,2.0
17.0,0.329695075331845,0.3158031582501309,6.058902066515581,16.68820315675347,0.10897303224810354,7.688288485852406e+21,44.94074805175904,38.145092636811285,12.785630623876022,19.83786071140035,1,5.057553914873119e+21,5.533077602265494e+21,4.5820302274807427e+21,0.599274479599929,6,10132,1,2.0
18.0,0.3367386130288808,0.3300846547225452,5.9690968271918,16.68820315675347,0.10897303224810354,7.688288485852406e+21,44.87711639750564,38.50734022171803,13.846625362355132,20.277968847176226,1,5.228279690182312e+21,5.744522376415868e+21,4.712037003948755e+21,0.6195039426713628,6,10132,1,2.0
19.0,0.341211595098975,0.354578764326887,5.9199084166958515,16.68820315675347,0.10897303224810354,7.688288485852406e+21,44.8768245963929,38.66470747786473,14.769770799582128,19.882497597183157,1,5.555490947972963e+21,6.129468980120637e+21,4.981512915825288e+21,0.6582755226747071,6,10132,1,2.0
20.0,0.35329287152095085,0.36619293342325326,5.8612481413048485,16.68820315675347,0.10897303224810354,7.688288485852406e+21,44.77440281209909,38.65918142292747,15.111464781919231,19.91936208274928,1,5.967411705423265e+21,6.56215721623265e+21,5.372666194613879e+21,0.7070844136351174,6,10132,1,2.0
21.0,0.3646207838855422,0.37174750261486,5.79273870160033,16.68820315675347,0.10897303224810354,7.688288485852406e+21,44.5107702708008,38.58476313115163,15.48443577123876,19.697998048439782,1,6.352927178002303e+21,6.969124740136358e+21,5.736729615868247e+21,0.7527645167237108,6,10132,1,2.0
22.0,0.36805586946875773,0.371685693993484,5.746649503476732,16.68820315675347,0.10897303224810354,7.688288485852406e+21,44.49137628520194,38.600403656718775,15.319747363065348,19.73429127178957,1,6.620761350084548e+21,7.322864619576145e+21,5.91865808059295e+21,0.7845004481236022,6,10132,1,2.0
23.0,0.37549956004423224,0.3696695512798912,5.7629994260638675,16.68820315675347,0.10897303224810354,7.688288485852406e+21,44.47549405253073,38.69575937061191,15.098374040797612,19.907591271793454,1,6.82583586748061e+21,7.606989158623123e+21,6.044682576338096e+21,0.8087999270338166,6,10132,1,2.0
24.0,0.39164046011494935,0.3741826989522212,5.835396992063116,16.68820315675347,0.10897303224810354,7.688288485852406e+21,44.338907164119945,38.88551252993024,15.569258309316176,20.805666749915915,1,6.888043191796037e+21,7.617595565133028e+21,6.158490818459045e+21,0.8161709333609666,6,10132,1,2.0
25.0,0.4097169237874607,0.3781597596259683,5.962232942507954,16.68820315675347,0.10897303224810354,7.688288485852406e+21,44.12192568305892,38.99228447761871,15.49285682913578,21.31135539058979,1,7.067815426532856e+21,7.791735853411334e+21,6.343894999654379e+21,0.8374723202036467,6,10132,1,2.0
26.0,0.427487400136984,0.3845576411047481,6.085014862626016,16.68820315675347,0.10897303224810354,7.688288485852406e+21,43.98634422824753,39.06043832640405,15.863906661606233,21.565437505314385,1,7.30247471649683e+21,8.034323848905063e+21,6.570625584088597e+21,0.8652773275734944,6,10132,1,2.0
27.0,0.43985797607518773,0.37937165890886215,6.172933422874818,16.68820315675347,0.10897303224810354,7.688288485852406e+21,43.76712373807669,39.02849255284432,16.070645713464884,21.847629214080705,1,7.520360509433261e+21,8.229839192767583e+21,6.810881826098939e+21,0.8910948269757668,6,10132,1,2.0
