T_REC,NOAA_ARS,HARPNUM,MTOT,USFLUX,LON_MAX,LON_MIN,LAT_MAX,LAT_MIN,SIZE,LON,LAT,NormF,NormS
2012.03.11_22:00:00_TAI,11435,1471,42831.601562,7.175316e+19,-46.618923,-47.924248,-24.924107,-25.49856,35.048859,-47.2715855,-25.211333500000002,0.004275419002402471,0.007592006805974581
2012.03.11_23:00:00_TAI,11435,1471,199141.296875,6.587195e+20,-45.520927,-48.113064,-24.571928,-25.779449,146.199844,-46.816995500000004,-25.1756885,0.039249865337680656,0.03166865462525961
2012.03.12_00:00:00_TAI,11435,1471,236588.90625,7.381554e+20,-44.625172,-47.728275,-24.55603,-26.026411,211.651871,-46.176723499999994,-25.2912205,0.043983061148609996,0.04584635537291682
2012.03.12_01:00:00_TAI,11435,1471,261240.203125,7.052128e+20,-44.051071,-47.233467,-24.547237,-26.066452,224.61795,-45.642269,-25.3068445,0.04202017313045799,0.048654964920371815
2012.03.12_02:00:00_TAI,11435,1471,286465.3125,7.832734e+20,-43.496098,-46.711788,-24.55541,-26.135834,239.412338,-45.103943,-25.345622,0.046671421557411434,0.05185960831222171
2012.03.12_03:00:00_TAI,11435,1471,348769.5,9.449943e+20,-42.498089,-46.532589,-24.425129,-26.35129,368.984131,-44.515339,-25.3882095,0.05630757707928155,0.07992642596007522
2012.03.12_04:00:00_TAI,11435,1471,375564.90625,9.954016e+20,-41.703846,-46.256783,-24.3318,-26.510286,473.841339,-43.9803145,-25.421043,0.05931110094192121,0.10263976555242807
2012.03.12_05:00:00_TAI,11435,1471,386610.8125,1.020055e+21,-41.090759,-45.788193,-24.284508,-26.550749,513.669983,-43.439476,-25.4176285,0.06078007617358808,0.1112671316050787
2012.03.12_06:00:00_TAI,11435,1471,391436.6875,9.299745e+20,-40.509781,-45.28014,-24.257942,-26.574545,536.382568,-42.894960499999996,-25.4162435,0.05541262083857682,0.11618695224464007
2012.03.12_09:00:00_TAI,11435,1471,387633.5,1.125977e+21,-38.852806,-43.661762,-24.246758,-26.612274,564.669312,-41.257284,-25.429516,0.06709144882355184,0.12231420314792513
2012.03.12_10:00:00_TAI,11435,1471,386203.40625,8.107749e+20,-38.307808,-43.119061,-24.254576,-26.646799,577.759583,-40.713434500000005,-25.4506875,0.048310101103992684,0.1251497141847909
2012.03.12_11:00:00_TAI,11435,1471,387664.90625,7.011587e+20,-37.776978,-42.577461,-24.275984,-26.660494,581.968933,-40.1772195,-25.468239,0.04177860918849864,0.12606151031055718
2012.03.12_12:00:00_TAI,11435,1471,379053.1875,6.061174e+20,-37.226028,-42.024132,-24.295158,-26.678085,582.082031,-39.62508,-25.4866215,0.036115564104030815,0.1260860087053763
2012.03.12_13:00:00_TAI,11435,1471,374919.0,5.563028e+20,-36.661289,-41.455074,-24.323841,-26.691141,579.492432,-39.0581815,-25.507491,0.033147356328413986,0.12552507023851367
2012.03.12_14:00:00_TAI,11435,1471,369271.1875,5.265537e+20,-36.106495,-40.868423,-24.357628,-26.693352,570.997009,-38.487459,-25.525489999999998,0.031374753317698206,0.12368485885714936
2012.03.12_15:00:00_TAI,11435,1471,351834.90625,5.24674e+20,-35.579819,-40.266979,-24.40321,-26.678993,554.698364,-37.923399,-25.5411015,0.03126275121076917,0.12015437520379665
2012.03.12_16:00:00_TAI,11435,1471,356537.1875,5.870139e+20,-34.897839,-39.636757,-24.449862,-26.66259,540.92627,-37.267298,-25.556226000000002,0.03497728020249399,0.11717117305788596
2012.03.12_17:00:00_TAI,11435,1471,349442.3125,5.622093e+20,-34.279556,-39.021496,-24.540663,-26.652431,526.821838,-36.650526,-25.596547,0.03349929570415284,0.11411598248125673
2012.03.12_18:00:00_TAI,11435,1471,349131.6875,4.496271e+20,-33.697769,-38.402168,-24.613121,-26.694828,514.908325,-36.049968500000006,-25.6539745,0.02679107439080197,0.11153537146110723
2012.03.12_19:00:00_TAI,11435,1471,338069.3125,3.715057e+20,-33.143295,-37.786907,-24.69636,-26.728476,504.403076,-35.465101000000004,-25.712418,0.022136203189947756,0.1092598074575413
2012.03.12_20:00:00_TAI,11435,1471,321522.90625,4.086836e+20,-32.603554,-37.200817,-24.733461,-26.725067,493.915161,-34.9021855,-25.729264,0.024351451969644968,0.10698799820804525
2012.03.12_21:00:00_TAI,11435,1471,344679.90625,5.606224e+20,-32.071327,-36.798981,-24.759909,-26.918747,525.972046,-34.435154,-25.839328000000002,0.033404740113640696,0.11393190725507997
2012.03.12_22:00:00_TAI,11435,1471,352936.6875,5.735398e+20,-31.544968,-36.637829,-24.781055,-27.136013,598.503906,-34.091398500000004,-25.958534,0.03417442464630287,0.12964318546730355
2012.03.12_23:00:00_TAI,11435,1471,349641.90625,4.942303e+20,-31.033421,-36.144127,-24.817589,-27.174562,604.482849,-33.588774,-25.996075500000003,0.029448760391640925,0.1309382968416434
2012.03.13_00:00:00_TAI,11435,1471,351590.0,4.679547e+20,-30.532726,-35.605381,-24.854801,-27.203596,593.283997,-33.0690535,-26.0291985,0.027883126215535983,0.12851249003854312
2012.03.13_01:00:00_TAI,11435,1471,336715.8125,4.524524e+20,-30.054705,-35.050808,-24.956873,-27.204603,564.288208,-32.5527565,-26.080738,0.026959420165503567,0.12223165141173925
2012.03.13_02:00:00_TAI,11435,1471,316425.6875,4.276611e+20,-29.773441,-34.524281,-25.03467,-27.209581,537.285461,-32.148861,-26.1221255,0.02548222814895321,0.11638252978971984
2012.03.13_03:00:00_TAI,11435,1471,310274.1875,4.398127e+20,-29.386209,-34.043213,-25.067472,-27.21973,533.632385,-31.714711,-26.143600999999997,0.0262062824142928,0.11559122934097363
2012.03.13_04:00:00_TAI,11435,1471,322563.40625,4.785845e+20,-28.881353,-33.626423,-25.070044,-27.277542,558.988464,-31.253888000000003,-26.173793,0.02851650388018152,0.12108366275630476
2012.03.13_05:00:00_TAI,11435,1471,326037.8125,4.326155e+20,-28.374607,-33.145523,-25.070896,-27.309248,574.86499,-30.760064999999997,-26.190072,0.025777436553788658,0.12452271032835932
2012.03.13_06:00:00_TAI,11435,1471,334373.59375,4.097523e+20,-27.87771,-32.60236,-25.071875,-27.338892,586.385315,-30.240035,-26.2053835,0.02441513056286466,0.1270181520717564
2012.03.13_09:00:00_TAI,11435,1471,351675.40625,6.279921e+20,-26.211208,-31.127306,-25.111914,-27.366558,624.174561,-28.669257,-26.239236,0.0374189702265187,0.13520375984930627
2012.03.13_10:00:00_TAI,11435,1471,358722.09375,4.452288e+20,-25.655172,-30.625963,-25.131102,-27.412296,643.426758,-28.1405675,-26.271698999999998,0.02652900125843725,0.13937401859165113
2012.03.13_11:00:00_TAI,11435,1471,363137.8125,4.496866e+20,-25.142994,-30.229631,-25.139637,-27.447884,672.748413,-27.6863125,-26.293760499999998,0.026794619704076574,0.14572544373568902
2012.03.13_12:00:00_TAI,11435,1471,358369.6875,3.825085e+20,-24.624851,-29.771666,-25.167385,-27.477152,688.839172,-27.1982585,-26.3222685,0.022791806095793767,0.1492108967668789
